"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","sparsemcmm_ome_p_value.OME","ldm_p_value","permanova_p_value","microbvs_result.2.5%","microbvs_result.97.5%","MedZIM_pvalue.pNIE"
"0.692","0.921","-0.521649669270453","0.683992170476061","0.9935","0.6775","-0.116536184367999","0.193067630047247","0.968378137642872","0.692"
"0.501","0.789","-0.494040265606358","0.566150394670107","1","1","0.828333333333333","-0.187963519239914","0.176390335778295","0.257350012818555"
"0.59","0.567","-2.06424032654557","2.56746484253489","1","0.968","0.925","-0.786112037489956","0.37791615695442","0.840321015771755"
"0.934","0.975","-1.35213145011404","1.1455270787075","0.0909090909090909","0.9992","0.97","-1.19732863269821","1.31761602423959","0.978243302384239"
"0.658","0.689","-2.10096477624081","5.50012097156611","0.545454545454545","0.9979","0.585","-0.0402154109291652","0.0953255705340486",NA
"0.474","0.755","-0.82571225172114","1.89785785207768","0.727272727272727","0.9918","0.882","-0.0939015531111116","0.461779624091366","0.561819671502935"
"0.162","0.982","-3.6146231150594","4.19792472162393","1","0.8547","0.363333333333333","-0.402507811654909","0.593878004117875","0.62608940111743"
"0.736","0.784","-1.19294168735995","0.433451433497924","0.9857","0.776666666666667","-0.0301183293061609","0.0131366590990774",NA,"0.736"
"0.932","0.967","-2.24588794142345","3.04997985979368","0.727272727272727","0.9983","0.96","-0.182548146582434","0.730216677799577","0.365507424143773"
"0.546","0.983","-0.211405588979108","0.227277712670543","1","0.9752","0.975","-0.0651443806831173","0.320156994775761","0.697112240710241"
"0.248","0.438","-0.489159569122683","0.314033321174638","0.727272727272727","0.9844","0.684","-0.396600213218293","0.342695126117031","0.573399514783923"
"0.579","0.621","-0.389950812505726","0.424923114386315","0.181818181818182","0.9987","0.709","-0.542753688677326","0.386464165046324","0.597660521206345"
"0.915","0.709","-1.21137371121165","0.615876224612828","0.454545454545455","0.9988","0.943","-1.04862622988678","1.02169998819983","0.719668560303655"
"0.832","0.757","-0.373477175831264","0.542429551538246","0.818181818181818","0.9761","0.863333333333333","-0.991134482434582","0.250814269576166","0.000526472265408584"
"0.754","0.818","-0.207361272536713","0.462346891449458","0.727272727272727","0.9997","0.985","-0.486295411379685","0.481228302554253","0.884375587684512"
"0.905","0.958","-0.351455433623737","0.405200338300596","0.363636363636364","0.9999","0.945","-0.607332234660962","0.467440938855699","0.52195666338688"
"0.866","0.825","-0.432696024481436","0.71902722168901","0.181818181818182","0.9998","0.915","-0.417448214767791","0.510852309887775","0.795380316671761"
"0.959","0.908","-0.687565875828075","1.49299496343898","0.727272727272727","1","0.981111111111111","-0.525266035069419","0.2939856595302","1"
"0.785","0.857","-0.11803512619635","0.290247633974702","0.363636363636364","0.9936","0.826666666666667","-0.106543996463769","0.0649487162982729","0.681528278806588"
"0.758","0.831","-0.173934704994973","0.204822374068102","1","0.985","-0.261397712807196","0.253879199419319","0.824066502618823","0.758"
"0.865","0.579","-0.296810008995394","0.212492026249719","0.909090909090909","1","0.81","-0.617932952112107","0.194952429223284","2.13487589828532e-08"
"0.752","0.962","-0.748272932923665","1.39056506608827","1","0.972","0.963333333333333","-1.76538130185203","2.58973714709489","0.217094148318348"
"0.857","0.977","-0.627053588617278","0.325790613758173","0.181818181818182","0.7776","0.83","-0.416860765427871","0.25437608044319","0.983522558771285"
"0.733","0.889","-1.12268070617153","0.985312548718982","1","0.9985","0.7775","-0.690984561636837","0.65688105444592","0.999941763846237"
"0.531","0.436","-0.37079385132154","0.289449951356288","0.0909090909090909","0.5252","0.37","-0.114151802800255","0.100693081128161","0.684272299379263"
"0.561","0.687","-1.01272734313866","1.01108824660564","0.272727272727273","0.9743","0.79","-0.880820182909668","1.26559375985541",NA
"0.858","0.856","-0.453899555001796","0.485675442493981","0.636363636363636","1","0.795","-0.182759670131518","0.411162562405665","0.816364115096763"
"0.904","0.956","-0.83286695119959","0.732893337547744","0.454545454545455","0.9668","0.925","-0.687918939762719","0.468906380922843","1"
"0.442","0.737","-0.316798355947629","0.950521471407552","0.727272727272727","0.9952","0.6425","-0.579163520936887","0.349896353172132",NA
