"method","iteration","true_positives","false_positives","false_negatives","precision","recall","f1_score"
"hima",49,1,3,3,0.25,0.25,0.25
"microbvs",49,1,1,3,0.5,0.25,0.333333333333333
"medzim",49,0,3,4,0,0,0
"ccmm",50,2,6,2,0.25,0.5,0.333333333333333
"ldm",50,0,1,4,0,0,0
"hima",50,1,3,3,0.25,0.25,0.25
"microbvs",50,2,6,2,0.25,0.5,0.333333333333333
"medzim",50,0,0,4,0,0,0
"ccmm",51,0,0,4,0,0,0
"ldm",51,0,0,4,0,0,0
"hima",51,0,0,4,0,0,0
"microbvs",51,0,3,4,0,0,0
"medzim",51,0,1,4,0,0,0
"ccmm",52,1,0,3,1,0.25,0.4
"ldm",52,1,7,3,0.125,0.25,0.166666666666667
"hima",52,1,4,3,0.2,0.25,0.222222222222222
"microbvs",52,1,4,3,0.2,0.25,0.222222222222222
"medzim",52,0,0,4,0,0,0
"ccmm",53,0,1,4,0,0,0
"ldm",53,0,2,4,0,0,0
"hima",53,0,0,4,0,0,0
"microbvs",53,1,8,3,0.111111111111111,0.25,0.153846153846154
"medzim",53,0,0,4,0,0,0
"ccmm",54,1,0,3,1,0.25,0.4
"ldm",54,0,0,4,0,0,0
"hima",54,0,0,4,0,0,0
"microbvs",54,0,0,4,0,0,0
"medzim",54,0,1,4,0,0,0
"ccmm",55,1,5,3,0.166666666666667,0.25,0.2
"ldm",55,4,7,0,0.363636363636364,1,0.533333333333333
"hima",55,2,4,2,0.333333333333333,0.5,0.4
"microbvs",55,0,2,4,0,0,0
"medzim",55,0,3,4,0,0,0
"ccmm",56,3,0,1,1,0.75,0.857142857142857
"ldm",56,1,0,3,1,0.25,0.4
"hima",56,3,0,1,1,0.75,0.857142857142857
"microbvs",56,0,0,4,0,0,0
"medzim",56,0,0,4,0,0,0
"ccmm",57,0,1,4,0,0,0
"ldm",57,2,4,2,0.333333333333333,0.5,0.4
"hima",57,0,0,4,0,0,0
"microbvs",57,0,0,4,0,0,0
"medzim",57,0,7,4,0,0,0
"ccmm",58,1,3,3,0.25,0.25,0.25
"ldm",58,1,3,3,0.25,0.25,0.25
"hima",58,1,1,3,0.5,0.25,0.333333333333333
"microbvs",58,1,2,3,0.333333333333333,0.25,0.285714285714286
"medzim",58,0,2,4,0,0,0
"ccmm",59,1,5,3,0.166666666666667,0.25,0.2
"ldm",59,0,1,4,0,0,0
"hima",59,1,4,3,0.2,0.25,0.222222222222222
"microbvs",59,0,1,4,0,0,0
"medzim",59,0,2,4,0,0,0
"ccmm",60,0,4,4,0,0,0
"ldm",60,0,1,4,0,0,0
"hima",60,0,1,4,0,0,0
"microbvs",60,2,5,2,0.285714285714286,0.5,0.363636363636364
"medzim",60,0,0,4,0,0,0
"ccmm",61,0,4,4,0,0,0
"ldm",61,3,9,1,0.25,0.75,0.375
"hima",61,0,0,4,0,0,0
"microbvs",61,0,0,4,0,0,0
"medzim",61,0,7,4,0,0,0
"ccmm",62,1,4,3,0.2,0.25,0.222222222222222
"ldm",62,1,3,3,0.25,0.25,0.25
"hima",62,1,3,3,0.25,0.25,0.25
"microbvs",62,0,2,4,0,0,0
"medzim",62,0,2,4,0,0,0
"ccmm",63,0,0,4,0,0,0
"ldm",63,0,0,4,0,0,0
"microbvs",63,1,1,3,0.5,0.25,0.333333333333333
"medzim",63,0,0,4,0,0,0
"ccmm",64,1,1,3,0.5,0.25,0.333333333333333
"ldm",64,0,0,4,0,0,0
"hima",64,0,0,4,0,0,0
"microbvs",64,0,3,4,0,0,0
"medzim",64,0,1,4,0,0,0
"ccmm",65,0,6,4,0,0,0
"ldm",65,0,1,4,0,0,0
"hima",65,0,0,4,0,0,0
"microbvs",65,2,4,2,0.333333333333333,0.5,0.4
"medzim",65,0,5,4,0,0,0
"ccmm",66,1,2,3,0.333333333333333,0.25,0.285714285714286
"ldm",66,2,6,2,0.25,0.5,0.333333333333333
"hima",66,0,0,4,0,0,0
"microbvs",66,1,4,3,0.2,0.25,0.222222222222222
"medzim",66,0,6,4,0,0,0
"ccmm",67,2,2,2,0.5,0.5,0.5
"ldm",67,0,0,4,0,0,0
"hima",67,0,1,4,0,0,0
"microbvs",67,1,2,3,0.333333333333333,0.25,0.285714285714286
"medzim",67,0,1,4,0,0,0
"ccmm",68,0,0,4,0,0,0
"ldm",68,0,2,4,0,0,0
"hima",68,0,0,4,0,0,0
"microbvs",68,2,7,2,0.222222222222222,0.5,0.307692307692308
"medzim",68,0,5,4,0,0,0
"ccmm",69,2,4,2,0.333333333333333,0.5,0.4
"ldm",69,2,0,2,1,0.5,0.666666666666667
"hima",69,1,3,3,0.25,0.25,0.25
"microbvs",69,2,5,2,0.285714285714286,0.5,0.363636363636364
"medzim",69,0,0,4,0,0,0
"ccmm",70,1,6,3,0.142857142857143,0.25,0.181818181818182
"ldm",70,1,10,3,0.0909090909090909,0.25,0.133333333333333
"hima",70,0,3,4,0,0,0
"microbvs",70,0,1,4,0,0,0
"medzim",70,0,8,4,0,0,0
"ccmm",71,0,3,4,0,0,0
"ldm",71,0,0,4,0,0,0
"hima",71,0,0,4,0,0,0
"microbvs",71,1,2,3,0.333333333333333,0.25,0.285714285714286
"medzim",71,0,0,4,0,0,0
"ccmm",72,1,1,3,0.5,0.25,0.333333333333333
"ldm",72,1,0,3,1,0.25,0.4
"hima",72,1,0,3,1,0.25,0.4
"microbvs",72,0,8,4,0,0,0
"medzim",72,0,0,4,0,0,0
"ccmm",73,1,3,3,0.25,0.25,0.25
"ldm",73,0,1,4,0,0,0
"hima",73,0,0,4,0,0,0
"microbvs",73,0,3,4,0,0,0
"medzim",73,0,2,4,0,0,0
"ccmm",74,0,4,4,0,0,0
"ldm",74,0,1,4,0,0,0
"hima",74,0,4,4,0,0,0
"microbvs",74,0,3,4,0,0,0
"medzim",74,0,1,4,0,0,0
"ccmm",75,1,1,3,0.5,0.25,0.333333333333333
"ldm",75,0,0,4,0,0,0
"hima",75,0,0,4,0,0,0
"microbvs",75,3,6,1,0.333333333333333,0.75,0.461538461538462
"medzim",75,0,0,4,0,0,0
"ccmm",76,0,1,4,0,0,0
"ldm",76,1,0,3,1,0.25,0.4
"hima",76,0,0,4,0,0,0
"microbvs",76,2,3,2,0.4,0.5,0.444444444444444
"medzim",76,0,2,4,0,0,0
"ccmm",77,2,5,2,0.285714285714286,0.5,0.363636363636364
"ldm",77,1,6,3,0.142857142857143,0.25,0.181818181818182
"hima",77,0,4,4,0,0,0
"microbvs",77,0,0,4,0,0,0
"medzim",77,0,5,4,0,0,0
"ccmm",78,0,2,4,0,0,0
"ldm",78,0,2,4,0,0,0
"microbvs",78,4,2,0,0.666666666666667,1,0.8
"medzim",78,0,1,4,0,0,0
"ccmm",79,0,7,4,0,0,0
"ldm",79,0,2,4,0,0,0
"hima",79,2,6,2,0.25,0.5,0.333333333333333
"microbvs",79,1,2,3,0.333333333333333,0.25,0.285714285714286
"medzim",79,0,0,4,0,0,0
"ccmm",80,0,1,4,0,0,0
"ldm",80,2,7,2,0.222222222222222,0.5,0.307692307692308
"hima",80,0,4,4,0,0,0
"microbvs",80,3,0,1,1,0.75,0.857142857142857
"medzim",80,0,1,4,0,0,0
"ccmm",81,2,4,2,0.333333333333333,0.5,0.4
"ldm",81,1,4,3,0.2,0.25,0.222222222222222
"hima",81,2,1,2,0.666666666666667,0.5,0.571428571428572
"microbvs",81,0,0,4,0,0,0
"medzim",81,0,3,4,0,0,0
"ccmm",82,1,0,3,1,0.25,0.4
"ldm",82,0,0,4,0,0,0
"hima",82,0,0,4,0,0,0
"microbvs",82,0,2,4,0,0,0
"medzim",82,0,0,4,0,0,0
"ccmm",83,2,3,2,0.4,0.5,0.444444444444444
"ldm",83,1,0,3,1,0.25,0.4
"hima",83,2,1,2,0.666666666666667,0.5,0.571428571428572
"microbvs",83,1,1,3,0.5,0.25,0.333333333333333
"medzim",83,0,0,4,0,0,0
"ccmm",84,2,5,2,0.285714285714286,0.5,0.363636363636364
"ldm",84,0,1,4,0,0,0
"hima",84,0,2,4,0,0,0
"microbvs",84,1,4,3,0.2,0.25,0.222222222222222
"medzim",84,0,0,4,0,0,0
"ccmm",85,0,3,4,0,0,0
"ldm",85,4,11,0,0.266666666666667,1,0.421052631578947
"hima",85,1,3,3,0.25,0.25,0.25
"microbvs",85,1,1,3,0.5,0.25,0.333333333333333
"medzim",85,0,4,4,0,0,0
"ccmm",86,0,3,4,0,0,0
"ldm",86,0,2,4,0,0,0
"hima",86,0,4,4,0,0,0
"microbvs",86,1,1,3,0.5,0.25,0.333333333333333
"medzim",86,0,0,4,0,0,0
"ccmm",87,0,0,4,0,0,0
"ldm",87,0,0,4,0,0,0
"hima",87,0,0,4,0,0,0
"microbvs",87,3,8,1,0.272727272727273,0.75,0.4
"medzim",87,0,0,4,0,0,0
"ccmm",88,1,2,3,0.333333333333333,0.25,0.285714285714286
"ldm",88,0,1,4,0,0,0
"hima",88,0,2,4,0,0,0
"microbvs",88,0,0,4,0,0,0
"medzim",88,0,1,4,0,0,0
"ccmm",89,1,0,3,1,0.25,0.4
"ldm",89,2,4,2,0.333333333333333,0.5,0.4
"hima",89,1,0,3,1,0.25,0.4
"microbvs",89,1,3,3,0.25,0.25,0.25
"medzim",89,0,0,4,0,0,0
"ccmm",90,1,4,3,0.2,0.25,0.222222222222222
"ldm",90,1,1,3,0.5,0.25,0.333333333333333
"hima",90,0,1,4,0,0,0
"microbvs",90,0,0,4,0,0,0
"medzim",90,0,0,4,0,0,0
"ccmm",91,2,7,2,0.222222222222222,0.5,0.307692307692308
"ldm",91,1,1,3,0.5,0.25,0.333333333333333
"hima",91,0,5,4,0,0,0
"microbvs",91,1,2,3,0.333333333333333,0.25,0.285714285714286
"medzim",91,0,4,4,0,0,0
"ccmm",92,0,1,4,0,0,0
"ldm",92,3,8,1,0.272727272727273,0.75,0.4
"hima",92,0,0,4,0,0,0
"microbvs",92,0,4,4,0,0,0
"medzim",92,0,6,4,0,0,0
"ccmm",93,1,1,3,0.5,0.25,0.333333333333333
"ldm",93,1,0,3,1,0.25,0.4
"hima",93,1,0,3,1,0.25,0.4
"microbvs",93,0,0,4,0,0,0
"medzim",93,0,0,4,0,0,0
"ccmm",94,1,6,3,0.142857142857143,0.25,0.181818181818182
"ldm",94,0,1,4,0,0,0
"hima",94,0,4,4,0,0,0
"microbvs",94,0,4,4,0,0,0
"medzim",94,0,0,4,0,0,0
"ccmm",95,2,0,2,1,0.5,0.666666666666667
"ldm",95,0,1,4,0,0,0
"hima",95,0,0,4,0,0,0
"microbvs",95,0,0,4,0,0,0
"medzim",95,0,1,4,0,0,0
