"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","sparsemcmm_ome_p_value.OME","ldm_p_value","permanova_p_value","microbvs_result.2.5%","microbvs_result.97.5%","MedZIM_pvalue.pNIE"
"0.767","0.8","-0.359383754060467","4.05440559264854","1","0.977","0.79","-0.0286219669709024","0.1240522352933","0.165914178126799"
"0.161","0.229","-1.06122394854474","1.50074942497631","0.852","0.263","-0.345230806975364","0.891853285331688","0.74505446273314","0.161"
"0.607","0.483","-10.7068829788086","2.49335389739901","0.909090909090909","0.4229","0.27","-0.323136234525431","0.43665435668329","0.54459124954568"
"0.975","0.908","-7.20140884707404","3.99421673610805","0.909090909090909","0.5926","0.988","-1.53877166571717","0.952669067901682","0.436971961176603"
"0.213","0.209","-2.43458971262618","2.5716916565312","0.636363636363636","0.6958","0.158","-0.43090804163889","0.311380447889182","0.806599107483122"
"0.594","0.537","-2.53885023466262","7.63656284833192","1","0.5699","0.653","-0.228365660775213","0.126983151719011","0.775663815374232"
"0.177","0.167","-0.0628877995697154","1.83322575746888","0.909090909090909","0.0935","0.149","-2.09873649959501","2.58285305501414","0.996879112747546"
"0.702","0.448","-1.23393139271194","0.497125731784875","0.986","0.782","-0.465686037095783","0.1169163867246","0.314165486909453","0.702"
"0.676","0.768","-1.42541586566082","0.649380126596241","0.818181818181818","0.9872","0.837","-0.510084833057012","1.3495484798058","0.860974970300605"
"0.695","0.537","-0.29675475467435","0.982617920429851","0.909090909090909","0.6934","0.638","-0.897159864973258","1.19190893274002","0.00466616498552219"
"0.235","0.639","-1.54320498129965","1.8338960110141","0.363636363636364","0.5509","0.53","-0.02657872929216","0.0131558749561817","0.349424814091527"
"0.429","0.979","-2.64059854110709","1.57534812153293","0.363636363636364","0.9481","0.369","-0.352516425538539","0.321247057733892","0.829552786454552"
"0.346","0.211","-0.242211712810342","1.57402219951857","0.818181818181818","0.9889","0.269","-0.738761864500736","0.937717144819917","1"
"0.33","0.86","-3.64124234889932","2.17563280749881","0.0525","0.133","-0.162861365090426","0.698417679222163","1.97619698383278e-14","0.33"
"0.489","0.409","-4.05225043053251","3.3766231974722","0.272727272727273","0.2153","0.348","-1.1918150429521","1.54363162545764","0.606249113957175"
"0.871","0.946","-2.63489112431153","3.67766179012408","0.727272727272727","0.9994","0.83","-0.623489554208745","0.536995786911349","0.570251181109623"
"0.008","0.019","0.56828936587523","2.19630409953843","0.0909090909090909","0.0008999100089991","0.015984015984016","-0.246423613642573","0.132404421178159","0.760929503538502"
"0.399","0.215","-0.634952387370369","0.411621561806484","0.636363636363636","0.9641","0.365","-0.253338441104493","0.100174866176794","0.540067637690621"
"0.232","0.242","-2.42384718522462","4.39031019359583","0.0909090909090909","0.4027","0.161","-2.2198429587157","0.744116195165489","0.690929096871983"
"0.345","0.211","-2.74238012041182","3.73744818001525","0.272727272727273","0.795","0.396","-0.806664839283117","0.538571459199735","0.951250429111208"
"0.035","0.013","-5.24506110501629","-0.314212350694611","0.454545454545455","0.0014998500149985","0.023976023976024","-0.520816618538814","0.811628970715378","0.00398994057280899"
"0.468","0.839","-0.062328288649999","0.859345509648495","0.818181818181818","0.4284","0.364","-0.414164104235404","0.195672058295734","0.430877793402023"
"0.133","0.908","-0.227132720960565","1.00870951293725","0.272727272727273","0.8588","0.126","-0.250478949095391","0.0799092988295308","0.0119788097635596"
"0.325","0.557","-0.0841350029384288","1.49952433330959","0.0909090909090909","0.0047995200479952","0.252","-0.304646178355158","0.216449829367136","0.188973471055116"
"0.001","0.07","-0.535921342240869","0.918171004094636","0.727272727272727","0.0137","0.013986013986014","-0.293762478660504","0.200658663860074","0.8544765088087"
"0.041","0.078","-0.639175106833805","1.3725826906324","0.181818181818182","0.9388","0.025974025974026","-0.633193631725693","0.44840978406662","0.676251104239165"
"0.888","0.62","-2.90916672687314","0.960381645516059","1","0.007999200079992","0.799","-0.831908564837241","0.858696354935607","0.813941267383798"
"0.097","0.047","0.0230783479154708","3.39133619585848","0.545454545454545","0.0028997100289971","0.0789210789210789","-0.91293350222926","0.540119384783635","0.805205506114318"
"0.443","0.498","-3.05074400148382","2.71356015571671","0.727272727272727","0.5092","0.337","-0.204864344864062","0.175685015287402",NA
