"method","iteration","true_positives","false_positives","false_negatives","precision","recall","f1_score"
"ldm",60,0,0,4,0,0,0
"microbvs",60,2,2,2,0.5,0.5,0.5
"medzim",60,0,0,4,0,0,0
"npem",60,0,0,4,0,0,0
"ccmm",61,0,0,4,0,0,0
"ldm",61,0,1,4,0,0,0
"microbvs",61,1,3,3,0.25,0.25,0.25
"medzim",61,0,1,4,0,0,0
"npem",61,0,0,4,0,0,0
"ccmm",62,0,1,4,0,0,0
"ldm",62,1,0,3,1,0.25,0.4
"microbvs",62,2,8,2,0.2,0.5,0.285714285714286
"medzim",62,0,0,4,0,0,0
"npem",62,0,0,4,0,0,0
"ccmm",63,0,0,4,0,0,0
"ldm",63,0,0,4,0,0,0
"microbvs",63,1,5,3,0.166666666666667,0.25,0.2
"medzim",63,0,0,4,0,0,0
"npem",63,0,0,4,0,0,0
"ccmm",64,0,0,4,0,0,0
"ldm",64,0,1,4,0,0,0
"microbvs",64,0,4,4,0,0,0
"medzim",64,0,1,4,0,0,0
"npem",64,0,0,4,0,0,0
"ccmm",65,0,1,4,0,0,0
"ldm",65,0,0,4,0,0,0
"hima",65,0,0,4,0,0,0
"microbvs",65,1,6,3,0.142857142857143,0.25,0.181818181818182
"medzim",65,0,0,4,0,0,0
"npem",65,0,0,4,0,0,0
"ccmm",66,0,0,4,0,0,0
"ldm",66,0,1,4,0,0,0
"microbvs",66,4,14,0,0.222222222222222,1,0.363636363636364
"medzim",66,0,1,4,0,0,0
"npem",66,0,0,4,0,0,0
"ccmm",67,0,0,4,0,0,0
"ldm",67,0,0,4,0,0,0
"microbvs",67,1,3,3,0.25,0.25,0.25
"medzim",67,0,0,4,0,0,0
"npem",67,0,0,4,0,0,0
"ccmm",68,0,0,4,0,0,0
"ldm",68,0,0,4,0,0,0
"microbvs",68,1,3,3,0.25,0.25,0.25
"medzim",68,0,0,4,0,0,0
"npem",68,0,1,4,0,0,0
"ccmm",69,0,1,4,0,0,0
"ldm",69,0,0,4,0,0,0
"microbvs",69,0,4,4,0,0,0
"medzim",69,0,0,4,0,0,0
"npem",69,0,0,4,0,0,0
"ccmm",70,0,0,4,0,0,0
"ldm",70,0,0,4,0,0,0
"microbvs",70,3,6,1,0.333333333333333,0.75,0.461538461538462
"medzim",70,0,0,4,0,0,0
"npem",70,0,0,4,0,0,0
"ccmm",71,0,0,4,0,0,0
"ldm",71,0,0,4,0,0,0
"microbvs",71,2,2,2,0.5,0.5,0.5
"medzim",71,0,0,4,0,0,0
"npem",71,0,0,4,0,0,0
"ccmm",72,0,1,4,0,0,0
"ldm",72,0,0,4,0,0,0
"microbvs",72,1,3,3,0.25,0.25,0.25
"medzim",72,1,0,3,1,0.25,0.4
"npem",72,0,0,4,0,0,0
"ccmm",73,1,0,3,1,0.25,0.4
"ldm",73,0,0,4,0,0,0
"microbvs",73,0,4,4,0,0,0
"medzim",73,0,0,4,0,0,0
"npem",73,0,0,4,0,0,0
"ccmm",74,0,0,4,0,0,0
"ldm",74,1,0,3,1,0.25,0.4
"microbvs",74,0,4,4,0,0,0
"medzim",74,0,1,4,0,0,0
"npem",74,0,0,4,0,0,0
"ccmm",75,0,0,4,0,0,0
"ldm",75,0,0,4,0,0,0
"microbvs",75,2,2,2,0.5,0.5,0.5
"medzim",75,0,0,4,0,0,0
"npem",75,0,0,4,0,0,0
"ccmm",76,0,0,4,0,0,0
"ldm",76,2,0,2,1,0.5,0.666666666666667
"microbvs",76,1,9,3,0.1,0.25,0.142857142857143
"medzim",76,2,0,2,1,0.5,0.666666666666667
"npem",76,0,0,4,0,0,0
"ccmm",77,0,0,4,0,0,0
"ldm",77,0,0,4,0,0,0
"hima",77,0,0,4,0,0,0
"microbvs",77,1,3,3,0.25,0.25,0.25
"medzim",77,0,0,4,0,0,0
"npem",77,0,0,4,0,0,0
"ccmm",78,0,1,4,0,0,0
"ldm",78,0,0,4,0,0,0
"microbvs",78,2,2,2,0.5,0.5,0.5
"medzim",78,1,0,3,1,0.25,0.4
"npem",78,0,0,4,0,0,0
"ccmm",79,0,0,4,0,0,0
"ldm",79,0,0,4,0,0,0
"microbvs",79,0,5,4,0,0,0
"medzim",79,0,0,4,0,0,0
"npem",79,0,2,4,0,0,0
"ccmm",80,1,0,3,1,0.25,0.4
"ldm",80,0,0,4,0,0,0
"hima",80,0,0,4,0,0,0
"microbvs",80,2,9,2,0.181818181818182,0.5,0.266666666666667
"medzim",80,1,1,3,0.5,0.25,0.333333333333333
"npem",80,0,0,4,0,0,0
"ccmm",81,0,0,4,0,0,0
"ldm",81,1,0,3,1,0.25,0.4
"microbvs",81,1,3,3,0.25,0.25,0.25
"medzim",81,0,1,4,0,0,0
"npem",81,0,0,4,0,0,0
"ccmm",82,0,0,4,0,0,0
"ldm",82,0,1,4,0,0,0
"microbvs",82,3,7,1,0.3,0.75,0.428571428571428
"medzim",82,0,0,4,0,0,0
"npem",82,0,0,4,0,0,0
"ccmm",83,0,0,4,0,0,0
"ldm",83,0,0,4,0,0,0
"microbvs",83,1,3,3,0.25,0.25,0.25
"medzim",83,0,0,4,0,0,0
"npem",83,0,0,4,0,0,0
"ccmm",84,0,0,4,0,0,0
"ldm",84,1,0,3,1,0.25,0.4
"microbvs",84,2,10,2,0.166666666666667,0.5,0.25
"medzim",84,0,0,4,0,0,0
"npem",84,0,0,4,0,0,0
"ccmm",85,0,0,4,0,0,0
"ldm",85,0,0,4,0,0,0
"microbvs",85,1,3,3,0.25,0.25,0.25
"medzim",85,0,0,4,0,0,0
"npem",85,0,0,4,0,0,0
"ccmm",86,0,0,4,0,0,0
"ldm",86,0,0,4,0,0,0
"microbvs",86,2,2,2,0.5,0.5,0.5
"medzim",86,0,0,4,0,0,0
"npem",86,0,0,4,0,0,0
"ccmm",87,0,0,4,0,0,0
"ldm",87,0,1,4,0,0,0
"hima",87,0,0,4,0,0,0
"microbvs",87,1,3,3,0.25,0.25,0.25
"medzim",87,0,1,4,0,0,0
"npem",87,0,0,4,0,0,0
"ccmm",88,0,0,4,0,0,0
"ldm",88,0,0,4,0,0,0
"microbvs",88,0,4,4,0,0,0
"medzim",88,1,1,3,0.5,0.25,0.333333333333333
"npem",88,0,0,4,0,0,0
"ccmm",89,0,0,4,0,0,0
"ldm",89,0,0,4,0,0,0
"microbvs",89,0,4,4,0,0,0
"medzim",89,0,0,4,0,0,0
"npem",89,0,0,4,0,0,0
"ccmm",90,1,1,3,0.5,0.25,0.333333333333333
"ldm",90,0,0,4,0,0,0
"hima",90,0,0,4,0,0,0
"microbvs",90,2,2,2,0.5,0.5,0.5
"medzim",90,0,0,4,0,0,0
"npem",90,0,0,4,0,0,0
"ccmm",91,0,0,4,0,0,0
"ldm",91,1,0,3,1,0.25,0.4
"microbvs",91,1,3,3,0.25,0.25,0.25
"medzim",91,0,0,4,0,0,0
"npem",91,0,0,4,0,0,0
"ccmm",92,0,0,4,0,0,0
"ldm",92,0,0,4,0,0,0
"microbvs",92,1,5,3,0.166666666666667,0.25,0.2
"medzim",92,0,0,4,0,0,0
"npem",92,0,0,4,0,0,0
"ccmm",93,0,0,4,0,0,0
"ldm",93,1,0,3,1,0.25,0.4
"microbvs",93,4,16,0,0.2,1,0.333333333333333
"medzim",93,0,0,4,0,0,0
"npem",93,0,0,4,0,0,0
"ccmm",94,0,0,4,0,0,0
"ldm",94,0,1,4,0,0,0
"microbvs",94,4,15,0,0.210526315789474,1,0.347826086956522
"medzim",94,0,1,4,0,0,0
"npem",94,0,0,4,0,0,0
"ccmm",95,0,1,4,0,0,0
"ldm",95,0,0,4,0,0,0
